Marca temporal,Nombre de usuario,🥦🥕 Bolsón de verduras verdes agroecológicas (5 kg aprox) con variedades de estación - Productores de Escobar - $630,"🥔🧅 Bolsón de Pesadas agroecológicas (5kg aprox.) Variedades: Papá, cebolla, batata, anco, cabutia - $355",🥦🥔 COMBO Bolsón de verduras verdes agroecológicas (5 kg aprox) + Bolsón de Pesadas agroecológicas (5kg aprox.) - $900,☀️🍊 COMBO Cítrico de Verano - 2kg Naranja - 1kg Limón - 1kg Pomelo o mandarina - $435,🌽 Choclo agroecológico - Escobar - $60 por unidad,🥑Palta agroecológica de Finca Ecotipa - Tucumán (500 gr.) - $240,🍅 Tomate perita agroecológico de Mendoza (1 kg.) - $205,🥒 Morrón verde agroecológico de Luján (500 gr.) - $100,Uva Red Glove - Aprosur - Mendoza (500gr) -  $ 115,🍆 Berenjena agroecológica de Escobar (1 kg.) - $150,🧄 Ajo agroecológico de UST - Mendoza (100 gr.) - $40,🍊 Ciruela agroecológico de Mendoza( 500 gr.) - $200,🍎 Manzana roja agroecológica Coop Río Colorado - Río Negro ( 1kg.) - $190,🍋 Limón agroecológico de Finca Ecotipa - Tucumán (1 kg) - $100,🍐 Pera agroecológica de Coop. Río Colorado - Río Negro (1 kg) - $185,🥚 Huevos de campo de Tres Arroyos (docena.) - $270,🥜 Maní con cascara de Salta (500 gm) - $210,"Yerba mate ""Las Tunas"" 1Kg - $640","Yerba Mate ""Grapia Milenaria"" 1Kg - $680",Azúcar Mascabo Agroecológica 1Kg - $265,"Mermelada de naranja ""Dulce Huayna"" 360gr - $490","Mermelada Otoñal ""Dulce Huayna"" 360gr - $490","Harina de Trigo Integral Agroecológica ""Naturaleza Viva"" 1K - $150","Tomate Triturado sin piel Agroecológico ""Manos del Pueblo"" 450cc - $280","Aceite de Girasol puro ""El Cortijo"" 900ml - $370","Aceitunas Verdes orgánicas ""San Nicolas"" 500g - $520","Promoción 1° - viandas cinco almuerzos: Tarta individual de acelga, cebolla caramelizada y queso - Tarta individual de calabaza, ricota y nuez - Musaka/Lasagña de berenjenas - Canelones de acelga con salsa bologñesa - Pastel de papa - $1900","Promoción 2° - viandas vegetariana cinco almuerzos: Tarta de calabaza, zanahoria y cebollas asadas - Tarta de acelga y cebolla caramelizada - Canelones de acelga y ricota con salsa blanca y fileto - Porcion de knishes - Porción buñuelos de acelga - $1800"," Gran picada del Abasto CARNE: Bastoncitos de muzza, bastoncitos de pollo, albóndigas de carne, buñuelos de acelga, Hummus c/ pimentón ahumado, Berenjenas al escabeche, Aceitunas condimentadas, Salsitas: alioli, y salsa picante + 2 panes estilo campo - $1600"," Gran picada del Abasto VEGGIE: Bastoncitos de muzza, falafel, buñuelos de acelga, knishes receta tradicional, hummus c/ pimentón ahumado, berenjenas al escabeche, aceitunas condimentadas. Salsitas: alioli, y salsa picante + 2 panes estilo campo - $1500",3 Empanadas de Osobuco Braseado - $330,3 Empanadas de Bondiola a la cerveza negra - $330,"3 Empanadas de champiñón, queso, puerro y cebolla - $330",3 Empanadas de queso y cebolla - $330,"Tarta de calabaza, zanahoria y cebolla asadas - $380",Tarta de acelga y cebolla caramelizada - $380,Musaka / Lasagña de Berenjenas. Cuenta con distintos cortes de carne vacuna - $440,Pastel de papa - $440,Canelones de acelga y ricota con salsa blanca y fileto - $420,Canelones de acelga con salsa bologñesa -  $420,Buñuelos de acelga - $380,3 knishes de papa y cebolla - $360,Bolsa PAC - $150,🍊 Naranja agroecológica de Finca Don Luis - Entre Ríos ( 1kg.) - $120,🍑 Durazno agroecológico de Approsur - Mendoza ( 1kg.) - $350,Morrón rojo agroecológico de Luján (500 gr.) - $ 120,🟢 Zapallito redondo agroecológico de Productores de Escobar (1 kg.) - $125,"Mermelada de Frutilla ""Crece desde el Pie"" Agroecológica 360gr - $430",🍅 Tomate cherry orgánico de San Nicolas (500 gr.) - $155,🍊 Mandarina agroecológico de Finca Don Luis - Entre Ríos (1 kg) - $100,🍓 Frutillas agroecológicas de Productores de Escobar (600 gr.) - $290,🍌 Banana orgánica de Finca La Lucrecia - Jujuy ( 1kg.) - $230,12 Cookies de chocolate - $450,12 Cookies de maní con chips de chocolate - $450,Cuadraditos de Brownie y nuez - $300,Budín de limón con arándanos (250gr) - $300,Budín de naranja con jengibre (250gr) - $300,Caja de 6 rolls de canela $500,Arroz yamani Hebrasol 1Kg - $210,Coco rallado Hebrasol 1Kg - $580,Fécula de mandioca Hebrasol 1Kg - $158,Poroto colorado Hebrasol 1Kg - $270,🥭 Mango agroecológico de Finca Ecotipa - Tucumán ( 1kg.) - $175,🔵 Arándanos agroecológicos de Finca Ecotipa - Tucumán (250 gr.) - $220,Miel natural Mercado del Abasto 500gr - $450,🎋 Jengibre agroecológico de Batter - Misiones (100 gr.) - $65,"Aceite de Oliva ""La Riojana"" Extra Virgen Orgánico 500cc - $600","Tomate Triturados sin piel Agroecológico ""Manos del Pueblo"" 970g - $265",¿Como retirás?,Barrio,🏠¿Dónde querés retirar el pedido? 
2021/03/30 11:55:20 a. m. GMT-3,16,0.0,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,0.0,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/30 3:39:48 p. m. GMT-3,17,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/30 9:26:14 p. m. GMT-3,18,0.0,0.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 7:41:11 a. m. GMT-3,19,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 8:38:26 a. m. GMT-3,20,1.0,1.0,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 10:06:29 a. m. GMT-3,21,1.0,0.0,,,,1.0,,,,,,,,1.0,,,,1.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 10:48:02 a. m. GMT-3,22,1.0,1.0,,,,0.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 11:22:19 a. m. GMT-3,23,1.0,1.0,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 11:56:16 a. m. GMT-3,24,1.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 12:06:43 p. m. GMT-3,25,1.0,1.0,,,,2.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 12:16:26 p. m. GMT-3,26,1.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,1.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 12:42:45 p. m. GMT-3,27,0.0,0.0,,,,2.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 1:35:52 p. m. GMT-3,28,1.0,0.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 2:53:24 p. m. GMT-3,29,1.0,0.0,,,,1.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 3:13:04 p. m. GMT-3,30,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 3:29:14 p. m. GMT-3,0,1.0,1.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 6:01:03 p. m. GMT-3,31,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/03/31 6:07:37 p. m. GMT-3,32,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 6:10:58 p. m. GMT-3,33,0.0,1.0,,,,1.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 9:23:44 p. m. GMT-3,34,1.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 9:43:48 p. m. GMT-3,35,1.0,0.0,,,,0.0,,,,,,,,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/03/31 10:01:49 p. m. GMT-3,36,0.0,1.0,,,,1.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/01 2:40:09 p. m. GMT-3,37,0.0,0.0,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/01 3:17:39 p. m. GMT-3,38,1.0,1.0,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/02 10:13:40 a. m. GMT-3,39,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/02 11:38:37 a. m. GMT-3,40,1.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,1.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/04/02 2:03:38 p. m. GMT-3,41,1.0,1.0,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/13 11:04:51 a. m. GMT-3,8,1.0,0.0,,,,0.0,,,,,,,,1.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/13 11:19:33 a. m. GMT-3,42,1.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Envío a domicilio (recargo de $200),Palermo,
2021/04/13 11:45:39 a. m. GMT-3,18,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/04/13 11:56:50 a. m. GMT-3,31,0.0,0.0,,,,2.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/04/13 12:03:31 p. m. GMT-3,43,1.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/13 12:04:27 p. m. GMT-3,25,1.0,0.0,,,,2.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/13 12:13:45 p. m. GMT-3,44,0.0,0.0,,,,2.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/13 1:36:16 p. m. GMT-3,1,1.0,1.0,,,,1.0,,,,,,,,0.0,,,,2.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/04/13 1:41:35 p. m. GMT-3,45,1.0,1.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Envío a domicilio (recargo de $200),Coghlan,
2021/04/13 2:27:59 p. m. GMT-3,46,0.0,1.0,,,,2.0,,,,,,,,0.0,,,,0.0,,0.0,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Palermo (Charcas 4599 de 11 a 13 hs.)
2021/04/13 5:16:06 p. m. GMT-3,47,1.0,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Envío a domicilio (recargo de $200),Palermo,
2021/04/13 5:49:57 p. m. GMT-3,48,1.0,1.0,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
2021/04/13 6:26:36 p. m. GMT-3,44,0.0,0.0,,,,1.0,,,,,,,,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,Voy al punto de entrega,,Villa Urquiza (Blanco Encalada 4673 de 11:30 a 14:30 hs.)
